oas_bps,STRAIGHT BOND,HW (LSMC Manual),HW (QL Tree),CIR (PDE Manual),CIR (QL Tree),BK (Manual Tree),BK (QL Tree)
0.0,99.48948234572235,99.33013989234844,98.88238697635809,99.7774725884457,99.48898297920215,99.02770382036195,98.82550413449714
25.0,97.32794128036723,97.3193301894719,96.82098667047627,99.31231436909603,97.32789321463999,96.98562653051876,96.73548814234132
50.0,95.21844612111362,95.34350382967321,94.79603275763866,98.84931199449547,95.21844546586573,94.9861445128094,94.6958288180437
75.0,93.1597048978172,93.40283017227944,92.81396847905096,98.3885812588774,93.15970486343281,93.02217291736557,92.70520358578455
90.0,91.94829677660661,92.25599642864631,91.63930279562852,98.1131498167341,91.94829677469252,91.86619892744201,91.52048349797627
100.0,91.15045811452765,91.49826045622595,90.86510157125718,97.92998779100948,91.15045811179527,91.10077557145999,90.74024506735867
150.0,87.27556734758191,87.79333905175434,87.08862811598037,97.01941488735466,87.2755673424861,87.37408848694614,86.9510713329783
200.0,83.58431664036257,84.23075354085834,83.46620682961549,96.11750901639569,83.58431663993862,83.80295736635918,83.33047278806868
