rate_shift_bps,STRAIGHT BOND,HW (LSMC Manual),HW (QL Tree),CIR (PDE Manual),CIR (QL Tree),BK (Manual Tree),BK (QL Tree)
-200.0,111.32345885071035,110.11263530028434,109.96576525479897,102.17533919115586,110.71766597156315,110.00700469368559,110.06771662182423
-100.0,101.88393370015056,101.541979949951,101.15305127769672,100.28240535761235,101.87883696932334,101.27912805122213,101.12543349861932
-50.0,97.4989319329702,97.47890773355559,96.9841321156462,99.34943568780457,97.49887802968814,97.14760851207251,96.90081915382989
0.0,93.32256631791346,93.55675277411835,92.97082379875145,98.4253487344691,93.32256627715226,93.17756274605966,92.862719322997
50.0,89.34460851703594,89.77642587343489,89.11057084732788,97.51005895844193,89.34460851285664,89.36662666101927,88.97429650463526
100.0,85.55533784324976,86.13681343004079,85.4034989957176,96.60348164844957,85.55533784393627,85.71213467112896,85.2690045089708
200.0,78.50636253597045,79.27895900131077,78.44876913197525,94.8161296725045,78.50636253232454,78.85960072987945,78.32299161670001
