vol_multiplier,STRAIGHT BOND,HW (LSMC Manual),HW (QL Tree),CIR (PDE Manual),CIR (QL Tree),KWF (Manual Tree),KWF (QL Tree)
0.5,93.32256631791346,93.90208270921259,93.26503737389334,98.41111427986579,93.32256632029159,93.63441343352042,93.2159545717527
0.75,93.32256631791346,93.73644655240555,93.13513742825857,98.41730134609722,93.32256632026534,93.40232669185822,93.04176950611085
1.0,93.32256631791346,93.55675277411794,92.97082379875145,98.4253487344691,93.32256627715226,93.17756274605966,92.86271932299695
1.25,93.32256631791346,93.37175616554944,92.78604337843748,98.43370153420582,93.32255938462124,92.97268098773382,92.66965091352262
1.5,93.32256631791346,93.18330538069216,92.59646469860323,98.44127265402201,93.32245811631118,92.78312675320225,92.50451164137684
2.0,93.32256631791346,92.80154720160371,92.20239173869058,98.45405394185173,93.32116659614411,92.47793446924798,92.22940781739405
