method,price,duration,convexity,std_error
STRAIGHT BOND,93.32256631791346,8.734223631975114,85.02361199928774,0.0
HW (LSMC Manual),93.55675277411794,8.231969785912398,75.40805598800931,0.04702920022004429
HW (QL Tree),92.97082379875145,8.44366597019819,79.41650281816854,0.0
CIR (PDE Manual),98.4253487344691,7.736515136699723,56.45690950714527,0.0
CIR (QL Tree),93.32256627715226,8.734223362777655,85.02426027844035,0.0
BK (Manual Tree),93.17756274605966,8.346372998296332,80.05453394524882,0.0
BK (QL Tree),92.86271932299695,8.486881681710377,82.58600193483045,0.0
